timestamp,presence,distance,angle,speed,x,y
2026-02-09 15:59:34,1,578.5084269049155,52.020779145201196,0,456,356
2026-02-09 15:59:34,1,573.3628868352049,50.59106597603999,0,443,364
2026-02-09 15:59:35,1,645.2301914820788,46.884050231091805,0,471,441
2026-02-09 15:59:35,1,547.1535433495793,42.40752449057945,0,369,404
2026-02-09 15:59:36,1,555.901070335361,46.16616524124967,0,401,385
2026-02-09 15:59:36,1,579.3668958440757,50.18176685721981,0,445,371
2026-02-09 15:59:37,1,613.1794190936288,46.12330271407543,0,442,425
2026-02-09 15:59:37,1,599.9208281098432,41.68905848538856,0,399,448
2026-02-09 15:59:38,1,579.8706752371601,45.698694382983476,0,415,405
2026-02-09 15:59:38,1,599.3738399363122,47.23117460803125,0,440,407
2026-02-09 15:59:39,1,660.4975397380372,47.76132215943133,0,489,444
2026-02-09 15:59:39,1,622.255574502953,45.13021745650825,0,441,439
2026-02-09 15:59:40,1,610.4891481427004,46.6593209820085,0,444,419
2026-02-09 15:59:40,1,590.2109792269201,48.64056248445854,0,443,390
2026-02-09 15:59:41,1,513.595171316865,46.73570458892839,0,374,352
2026-02-09 16:03:18,1,1381.0271539691028,-49.875709149547774,0,-1056,890
2026-02-09 16:03:18,1,1383.0621822607977,-49.075181530843714,0,-1045,906
2026-02-09 16:03:19,1,1388.1901886989406,-48.27048792318357,0,-1036,924
2026-02-09 16:03:19,1,1395.9312303978302,-47.671091485643366,0,-1032,940
2026-02-09 16:03:20,1,1403.8753505920674,-47.136049994494684,0,-1029,955
2026-02-09 16:03:20,1,1405.868059243114,-46.98883786059143,0,-1028,959
2026-02-09 16:03:21,1,1405.868059243114,-46.98883786059143,0,-1028,959
2026-02-09 16:03:21,1,1405.868059243114,-46.98883786059143,0,-1028,959
2026-02-09 16:03:22,1,1405.868059243114,-46.98883786059143,0,-1028,959
2026-02-09 16:03:23,1,1405.868059243114,-46.98883786059143,0,-1028,959
2026-02-09 16:03:23,1,1405.868059243114,-46.98883786059143,0,-1028,959
2026-02-09 16:03:24,1,1405.868059243114,-46.98883786059143,0,-1028,959
2026-02-09 16:03:24,1,1405.868059243114,-46.98883786059143,0,-1028,959
2026-02-09 16:03:25,1,1393.105882551646,-47.676512646656455,-8,-1030,938
2026-02-09 16:03:25,1,1372.335600354374,-48.57449283674989,-8,-1029,908
2026-02-09 16:03:26,1,1352.4529566679944,-49.40789547112702,-8,-1027,880
2026-02-09 16:03:26,1,1339.4017321177391,-49.99725464906541,-8,-1026,861
2026-02-09 16:03:27,1,1339.4017321177391,-49.99725464906541,0,-1026,861
2026-02-09 16:03:27,1,1339.4017321177391,-49.99725464906541,0,-1026,861
2026-02-09 16:03:28,1,1339.4017321177391,-49.99725464906541,0,-1026,861
2026-02-09 16:03:28,1,1339.4017321177391,-49.99725464906541,0,-1026,861
2026-02-09 16:03:29,1,1339.4017321177391,-49.99725464906541,0,-1026,861
2026-02-09 16:03:29,1,1339.4017321177391,-49.99725464906541,0,-1026,861
2026-02-09 16:03:30,1,1449.005521038481,-47.65715498703926,-8,-1071,976
2026-02-09 16:03:30,1,1564.2838617079701,-45.82881422123771,-16,-1122,1090
2026-02-09 16:03:31,1,1667.3601890413481,-44.90280623485188,-16,-1177,1181
2026-02-09 16:03:31,1,1703.4849573741471,-45.49945242557934,8,-1215,1194
2026-02-09 16:03:32,1,1686.7886648895883,-47.01797619484927,8,-1234,1150
2026-02-09 16:03:32,1,1672.0502384796935,-48.58842591845256,8,-1254,1106
2026-02-09 16:03:33,1,1668.6629378037974,-49.03372157692689,0,-1260,1094
2026-02-09 16:03:33,1,1668.6629378037974,-49.03372157692689,0,-1260,1094
2026-02-09 16:03:34,1,1668.6629378037974,-49.03372157692689,0,-1260,1094
2026-02-09 16:03:34,1,1668.6629378037974,-49.03372157692689,0,-1260,1094
2026-02-09 16:03:35,1,1668.6629378037974,-49.03372157692689,0,-1260,1094
2026-02-09 16:03:35,1,1668.6629378037974,-49.03372157692689,0,-1260,1094
